Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Operating System Version,Weight,Price
Samsung,Samsung_302,Ultrabook,"14.2""",Retina,AMD Ryzen 5,4GB,256GB SSD,NVIDIA GTX 1650,Windows,Windows 5,2.81,1146.83
Lenovo,Lenovo_661,Ultrabook,"13.6""",Retina,AMD Ryzen 5,8GB,512GB SSD,AMD Radeon,Windows,Windows 1,2.27,1213.1
Asus,Asus_129,Student,"15.7""",Retina,AMD Ryzen 5,16GB,256GB SSD,NVIDIA GTX 1650,Windows,Windows 12,2.82,347.85
Dell,Dell_203,Ultrabook,"14.7""",LED,Intel i5,16GB,128GB SSD,NVIDIA GTX 1650,Windows,Windows 7,2.54,902.58
Dell,Dell_599,Student,"13.0""",LED,Intel i5,8GB,1TB SSD,Integrated,macOS,macOS 9,3.4,997.35
Dell,Dell_119,Ultrabook,"16.3""",OLED,AMD Ryzen 7,32GB,512GB SSD,AMD Radeon,macOS,macOS 4,1.96,1342.15
Acer,Acer_326,Business,"14.7""",IPS,AMD Ryzen 7,32GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 4,1.45,1023.81
Asus,Asus_119,Gaming,"15.5""",Retina,AMD Ryzen 5,8GB,512GB SSD,AMD Radeon,macOS,macOS 7,2.76,1196.0
Acer,Acer_693,Ultrabook,"14.2""",Retina,Intel i7,4GB,512GB SSD,AMD Radeon,macOS,macOS 10,2.77,966.7
MSI,MSI_967,Ultrabook,"14.9""",Retina,AMD Ryzen 7,16GB,128GB SSD,Integrated,macOS,macOS 4,1.16,1223.53
Dell,Dell_217,Workstation,"13.7""",LED,Intel i9,32GB,512GB SSD,NVIDIA RTX 4060,Linux,Linux 7,2.43,1639.65
Samsung,Samsung_936,Gaming,"15.4""",LED,Intel i5,16GB,1TB HDD,NVIDIA RTX 3050,Windows,Windows 6,1.68,820.81
Asus,Asus_525,Ultrabook,"14.8""",OLED,AMD Ryzen 5,4GB,1TB HDD,NVIDIA RTX 4060,Windows,Windows 5,2.15,1134.06
Asus,Asus_455,Business,"13.3""",OLED,Intel i5,16GB,128GB SSD,Integrated,macOS,macOS 9,1.4,700.32
MSI,MSI_695,Gaming,"17.1""",LED,Intel i9,8GB,1TB SSD,NVIDIA RTX 3050,Linux,Linux 12,2.97,1260.36
HP,HP_947,Business,"16.6""",LED,Intel i9,4GB,1TB HDD,NVIDIA RTX 4060,Linux,Linux 4,2.55,510.42
HP,HP_618,Business,"16.1""",OLED,Intel i9,32GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 12,2.97,1056.74
Acer,Acer_412,Workstation,"17.2""",LED,AMD Ryzen 5,16GB,256GB SSD,AMD Radeon,Windows,Windows 3,1.77,1378.53
Dell,Dell_426,Gaming,"15.3""",IPS,AMD Ryzen 5,8GB,1TB SSD,NVIDIA GTX 1650,Linux,Linux 9,2.98,1525.86
Dell,Dell_628,Business,"13.4""",LED,Intel i5,4GB,256GB SSD,AMD Radeon,Windows,Windows 2,2.66,859.83
Samsung,Samsung_979,Ultrabook,"15.8""",LED,Intel i9,32GB,1TB SSD,NVIDIA RTX 3050,macOS,macOS 3,1.13,1071.66
MSI,MSI_660,Workstation,"13.7""",OLED,Intel i9,8GB,1TB SSD,AMD Radeon,Linux,Linux 6,1.4,1816.52
Dell,Dell_546,Business,"13.3""",LED,Intel i7,32GB,1TB SSD,Integrated,macOS,macOS 4,3.0,975.97
MSI,MSI_535,Gaming,"14.7""",OLED,Intel i7,4GB,512GB SSD,NVIDIA RTX 3050,macOS,macOS 8,1.72,1272.51
Asus,Asus_171,Gaming,"14.7""",Retina,AMD Ryzen 7,32GB,256GB SSD,NVIDIA GTX 1650,macOS,macOS 12,1.42,1473.68
Samsung,Samsung_486,Workstation,"16.9""",LED,Intel i7,32GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 7,1.46,1559.6
Lenovo,Lenovo_712,Student,"16.4""",LED,AMD Ryzen 7,16GB,128GB SSD,NVIDIA RTX 4060,Linux,Linux 7,3.42,852.18
MSI,MSI_208,Workstation,"15.9""",IPS,Intel i5,32GB,1TB SSD,NVIDIA GTX 1650,Linux,Linux 11,1.41,1506.54
Dell,Dell_295,Gaming,"16.5""",LED,AMD Ryzen 7,8GB,1TB HDD,NVIDIA RTX 3050,Windows,Windows 12,3.15,1146.62
Apple,Apple_585,Business,"13.5""",Retina,Intel i9,4GB,512GB SSD,NVIDIA GTX 1650,Linux,Linux 12,2.15,881.77
Lenovo,Lenovo_687,Student,"15.3""",Retina,AMD Ryzen 5,32GB,256GB SSD,Integrated,Windows,Windows 3,1.35,251.99
Dell,Dell_406,Business,"16.2""",IPS,AMD Ryzen 7,4GB,1TB HDD,NVIDIA RTX 4060,Linux,Linux 11,2.59,974.49
HP,HP_582,Student,"15.9""",LED,Intel i3,32GB,1TB SSD,Integrated,Linux,Linux 7,1.19,541.99
Lenovo,Lenovo_615,Business,"15.2""",LED,AMD Ryzen 5,16GB,128GB SSD,AMD Radeon,Windows,Windows 4,3.35,970.13
Lenovo,Lenovo_863,Workstation,"16.9""",OLED,Intel i3,8GB,512GB SSD,NVIDIA RTX 3050,Linux,Linux 11,1.28,1597.84
Samsung,Samsung_657,Student,"14.6""",LED,Intel i7,16GB,512GB SSD,NVIDIA RTX 4060,Windows,Windows 9,2.05,777.65
Acer,Acer_998,Business,"16.0""",Retina,Intel i9,4GB,128GB SSD,NVIDIA RTX 3050,Linux,Linux 9,1.7,760.72
MSI,MSI_497,Workstation,"15.3""",Retina,Intel i3,8GB,128GB SSD,Integrated,Windows,Windows 11,1.19,1649.08
Dell,Dell_807,Ultrabook,"16.9""",Retina,Intel i5,4GB,1TB HDD,Integrated,Linux,Linux 7,2.33,922.82
Acer,Acer_980,Student,"15.5""",Retina,AMD Ryzen 7,8GB,1TB HDD,AMD Radeon,Windows,Windows 4,1.55,1044.37
Dell,Dell_544,Gaming,"15.9""",IPS,Intel i5,32GB,128GB SSD,AMD Radeon,Linux,Linux 8,1.79,1183.15
Apple,Apple_273,Gaming,"14.5""",Retina,AMD Ryzen 5,8GB,1TB HDD,NVIDIA RTX 3050,macOS,macOS 4,2.97,1480.31
Apple,Apple_639,Student,"14.7""",IPS,Intel i7,8GB,1TB SSD,NVIDIA GTX 1650,macOS,macOS 11,2.86,921.81
Dell,Dell_683,Gaming,"13.0""",IPS,Intel i9,8GB,256GB SSD,NVIDIA RTX 3050,Linux,Linux 12,2.17,917.01
Lenovo,Lenovo_523,Ultrabook,"14.9""",Retina,Intel i3,4GB,1TB HDD,Integrated,macOS,macOS 1,1.55,581.37
Lenovo,Lenovo_503,Student,"14.2""",OLED,AMD Ryzen 5,4GB,128GB SSD,NVIDIA GTX 1650,Linux,Linux 6,3.33,544.17
Dell,Dell_628,Workstation,"14.5""",OLED,Intel i3,16GB,1TB HDD,NVIDIA RTX 3050,macOS,macOS 3,2.13,1461.13
MSI,MSI_657,Workstation,"14.7""",Retina,Intel i7,32GB,1TB HDD,AMD Radeon,Windows,Windows 12,2.69,1710.39
Apple,Apple_349,Workstation,"13.0""",OLED,AMD Ryzen 7,16GB,1TB HDD,Integrated,Linux,Linux 4,2.72,1304.21
HP,HP_423,Gaming,"15.0""",LED,AMD Ryzen 5,16GB,1TB SSD,NVIDIA RTX 4060,Windows,Windows 1,2.01,1426.9
HP,HP_896,Gaming,"15.8""",OLED,Intel i7,4GB,256GB SSD,NVIDIA GTX 1650,Linux,Linux 6,1.29,1037.52
MSI,MSI_639,Ultrabook,"16.1""",OLED,AMD Ryzen 5,8GB,1TB HDD,NVIDIA RTX 3050,macOS,macOS 8,3.05,1163.39
Lenovo,Lenovo_932,Workstation,"14.7""",IPS,AMD Ryzen 5,8GB,128GB SSD,Integrated,Linux,Linux 8,2.63,1880.19
Apple,Apple_376,Ultrabook,"14.8""",OLED,AMD Ryzen 5,16GB,128GB SSD,AMD Radeon,macOS,macOS 10,2.48,987.62
Lenovo,Lenovo_255,Student,"16.9""",OLED,Intel i7,32GB,256GB SSD,NVIDIA RTX 3050,Windows,Windows 6,2.76,434.28
Dell,Dell_778,Business,"13.7""",IPS,Intel i9,4GB,128GB SSD,Integrated,Linux,Linux 4,1.85,430.09
Lenovo,Lenovo_526,Ultrabook,"14.8""",IPS,Intel i3,8GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 1,1.26,1166.9
Dell,Dell_976,Business,"15.1""",Retina,Intel i7,16GB,512GB SSD,AMD Radeon,macOS,macOS 11,1.52,870.29
Lenovo,Lenovo_917,Ultrabook,"13.6""",IPS,AMD Ryzen 7,8GB,1TB HDD,NVIDIA GTX 1650,Windows,Windows 5,3.39,1247.28
Asus,Asus_134,Student,"17.3""",IPS,Intel i3,4GB,1TB HDD,NVIDIA RTX 3050,Linux,Linux 4,1.08,696.34
Asus,Asus_773,Workstation,"16.3""",OLED,Intel i7,16GB,256GB SSD,NVIDIA GTX 1650,Windows,Windows 3,1.44,1579.45
Asus,Asus_482,Student,"14.0""",OLED,Intel i9,16GB,128GB SSD,NVIDIA RTX 4060,Linux,Linux 8,3.5,764.88
Apple,Apple_534,Workstation,"17.3""",Retina,Intel i5,32GB,128GB SSD,NVIDIA GTX 1650,Linux,Linux 5,2.83,1428.42
Samsung,Samsung_383,Workstation,"15.0""",Retina,AMD Ryzen 7,16GB,512GB SSD,AMD Radeon,macOS,macOS 11,1.88,1390.91
Acer,Acer_494,Student,"13.2""",Retina,Intel i9,4GB,256GB SSD,NVIDIA RTX 4060,macOS,macOS 1,3.37,690.19
HP,HP_403,Student,"15.1""",Retina,AMD Ryzen 7,16GB,256GB SSD,NVIDIA RTX 4060,macOS,macOS 11,1.51,580.87
Lenovo,Lenovo_803,Gaming,"14.6""",IPS,Intel i7,4GB,512GB SSD,NVIDIA GTX 1650,Linux,Linux 4,3.02,1474.89
Lenovo,Lenovo_147,Gaming,"13.3""",IPS,Intel i3,4GB,128GB SSD,Integrated,Linux,Linux 6,1.64,1344.54
HP,HP_579,Workstation,"13.1""",OLED,AMD Ryzen 7,8GB,256GB SSD,AMD Radeon,macOS,macOS 9,1.7,1327.53
Samsung,Samsung_385,Gaming,"16.4""",OLED,Intel i7,8GB,256GB SSD,Integrated,Linux,Linux 7,1.11,1441.85
MSI,MSI_648,Workstation,"16.2""",IPS,Intel i9,32GB,128GB SSD,Integrated,Linux,Linux 2,1.26,1212.09
MSI,MSI_364,Business,"13.3""",Retina,Intel i9,8GB,512GB SSD,NVIDIA RTX 3050,Linux,Linux 12,2.44,756.82
HP,HP_845,Student,"16.0""",Retina,Intel i5,8GB,256GB SSD,AMD Radeon,Linux,Linux 12,3.16,767.23
Lenovo,Lenovo_314,Ultrabook,"13.1""",OLED,AMD Ryzen 5,16GB,128GB SSD,Integrated,Windows,Windows 5,1.08,1018.71
Dell,Dell_825,Gaming,"16.1""",Retina,AMD Ryzen 7,8GB,256GB SSD,NVIDIA RTX 4060,macOS,macOS 4,2.59,923.43
HP,HP_113,Business,"16.1""",Retina,AMD Ryzen 5,32GB,1TB SSD,AMD Radeon,Linux,Linux 7,2.8,675.39
HP,HP_949,Business,"16.1""",IPS,Intel i9,4GB,128GB SSD,Integrated,macOS,macOS 10,2.79,835.16
Acer,Acer_393,Gaming,"13.3""",LED,Intel i3,8GB,1TB HDD,NVIDIA RTX 4060,Windows,Windows 12,1.25,930.83
Lenovo,Lenovo_773,Student,"15.5""",LED,Intel i7,4GB,512GB SSD,Integrated,macOS,macOS 8,3.41,536.15
Asus,Asus_500,Business,"13.2""",IPS,Intel i3,32GB,512GB SSD,Integrated,Linux,Linux 10,1.35,1010.02
Asus,Asus_635,Student,"13.6""",Retina,Intel i3,8GB,128GB SSD,AMD Radeon,Linux,Linux 3,2.61,627.99
HP,HP_200,Student,"16.7""",OLED,Intel i5,32GB,512GB SSD,NVIDIA RTX 4060,Windows,Windows 12,3.15,743.98
Apple,Apple_130,Business,"13.9""",IPS,AMD Ryzen 7,16GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 7,2.52,634.78
HP,HP_827,Student,"16.2""",Retina,AMD Ryzen 7,32GB,1TB SSD,AMD Radeon,macOS,macOS 6,2.45,900.42
Acer,Acer_749,Workstation,"14.2""",IPS,Intel i5,8GB,1TB HDD,AMD Radeon,macOS,macOS 8,3.1,1603.44
Dell,Dell_967,Business,"13.1""",OLED,AMD Ryzen 7,4GB,1TB SSD,NVIDIA RTX 4060,Windows,Windows 11,3.19,878.18
Dell,Dell_951,Student,"14.1""",IPS,Intel i9,8GB,1TB SSD,NVIDIA RTX 3050,macOS,macOS 5,1.19,602.28
MSI,MSI_833,Gaming,"13.5""",LED,AMD Ryzen 5,4GB,128GB SSD,NVIDIA GTX 1650,Linux,Linux 4,2.6,1554.22
Asus,Asus_583,Workstation,"17.2""",OLED,Intel i7,4GB,512GB SSD,Integrated,Linux,Linux 9,1.73,1867.52
Asus,Asus_313,Ultrabook,"14.3""",OLED,AMD Ryzen 5,4GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 12,2.18,1134.52
Apple,Apple_701,Gaming,"14.0""",Retina,Intel i9,8GB,512GB SSD,NVIDIA RTX 4060,macOS,macOS 9,1.51,1111.45
HP,HP_591,Business,"16.9""",IPS,Intel i5,16GB,1TB HDD,NVIDIA RTX 3050,Linux,Linux 5,2.32,1124.57
MSI,MSI_663,Student,"15.3""",OLED,Intel i3,8GB,256GB SSD,NVIDIA GTX 1650,Windows,Windows 2,1.02,803.51
Apple,Apple_460,Ultrabook,"13.2""",IPS,Intel i5,8GB,512GB SSD,NVIDIA GTX 1650,Linux,Linux 10,2.7,1061.99
Acer,Acer_545,Business,"15.4""",LED,AMD Ryzen 5,16GB,512GB SSD,AMD Radeon,Windows,Windows 11,2.69,828.51
Dell,Dell_851,Ultrabook,"16.4""",OLED,Intel i9,32GB,128GB SSD,NVIDIA RTX 4060,Linux,Linux 12,3.49,780.38
Dell,Dell_373,Ultrabook,"13.8""",LED,AMD Ryzen 7,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Linux 11,1.89,1192.43
Dell,Dell_718,Ultrabook,"15.2""",LED,Intel i5,16GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 4,1.62,1378.49
Lenovo,Lenovo_695,Business,"16.3""",LED,Intel i9,4GB,1TB HDD,NVIDIA GTX 1650,Windows,Windows 12,3.32,1135.06
HP,HP_354,Ultrabook,"13.2""",LED,Intel i9,32GB,256GB SSD,NVIDIA RTX 3050,macOS,macOS 5,1.61,1276.77
Asus,Asus_109,Student,"14.2""",Retina,Intel i7,8GB,512GB SSD,Integrated,Windows,Windows 7,1.93,656.45
Apple,Apple_503,Workstation,"13.1""",OLED,Intel i3,16GB,512GB SSD,NVIDIA GTX 1650,macOS,macOS 1,2.97,1581.3
Lenovo,Lenovo_181,Student,"16.6""",IPS,Intel i5,8GB,1TB HDD,NVIDIA RTX 4060,Linux,Linux 10,3.1,384.08
Dell,Dell_204,Workstation,"13.2""",IPS,AMD Ryzen 7,8GB,1TB HDD,Integrated,Windows,Windows 4,2.45,1895.29
Lenovo,Lenovo_687,Business,"16.6""",IPS,Intel i9,16GB,256GB SSD,AMD Radeon,Windows,Windows 4,3.06,587.15
Apple,Apple_498,Business,"13.9""",IPS,Intel i3,32GB,512GB SSD,NVIDIA RTX 4060,macOS,macOS 9,1.91,1035.43
Dell,Dell_806,Ultrabook,"16.6""",IPS,Intel i9,8GB,1TB HDD,NVIDIA GTX 1650,Linux,Linux 2,3.19,1026.93
MSI,MSI_280,Student,"14.8""",IPS,AMD Ryzen 7,4GB,128GB SSD,Integrated,Windows,Windows 9,1.15,973.37
Samsung,Samsung_490,Workstation,"14.3""",OLED,Intel i7,8GB,1TB SSD,NVIDIA RTX 4060,macOS,macOS 3,2.66,1331.14
MSI,MSI_268,Workstation,"16.3""",LED,Intel i5,8GB,1TB HDD,Integrated,Linux,Linux 3,1.45,1656.68
Acer,Acer_839,Workstation,"15.3""",Retina,Intel i3,32GB,512GB SSD,NVIDIA GTX 1650,macOS,macOS 11,1.67,1449.69
Acer,Acer_620,Gaming,"17.1""",LED,AMD Ryzen 7,4GB,128GB SSD,NVIDIA RTX 4060,Linux,Linux 9,1.32,1491.34
MSI,MSI_828,Ultrabook,"14.6""",IPS,Intel i5,32GB,512GB SSD,Integrated,Linux,Linux 7,1.31,1162.36
Asus,Asus_737,Gaming,"14.2""",OLED,Intel i3,4GB,128GB SSD,AMD Radeon,macOS,macOS 6,2.66,1347.47
Asus,Asus_282,Gaming,"14.3""",LED,Intel i9,32GB,1TB SSD,NVIDIA GTX 1650,Windows,Windows 3,2.96,1428.23
Lenovo,Lenovo_587,Business,"15.6""",LED,AMD Ryzen 5,16GB,1TB SSD,NVIDIA RTX 3050,Windows,Windows 3,2.77,1357.96
Asus,Asus_292,Workstation,"16.1""",LED,AMD Ryzen 5,32GB,512GB SSD,NVIDIA RTX 3050,Linux,Linux 11,3.16,1885.51
Apple,Apple_194,Student,"15.7""",LED,AMD Ryzen 7,16GB,128GB SSD,AMD Radeon,Linux,Linux 8,3.34,430.9
Samsung,Samsung_223,Gaming,"15.4""",LED,AMD Ryzen 5,16GB,1TB HDD,NVIDIA RTX 3050,Windows,Windows 6,1.84,1336.41
Dell,Dell_945,Workstation,"13.3""",OLED,Intel i3,8GB,256GB SSD,Integrated,Linux,Linux 6,1.83,1468.82
Apple,Apple_388,Workstation,"16.4""",OLED,AMD Ryzen 7,16GB,512GB SSD,AMD Radeon,Windows,Windows 8,1.69,1390.34
HP,HP_460,Gaming,"13.0""",LED,AMD Ryzen 5,8GB,128GB SSD,NVIDIA GTX 1650,macOS,macOS 10,1.28,1502.72
HP,HP_567,Gaming,"13.9""",IPS,Intel i9,16GB,512GB SSD,NVIDIA RTX 3050,macOS,macOS 2,2.21,1077.33
Samsung,Samsung_613,Student,"15.4""",LED,AMD Ryzen 7,8GB,512GB SSD,NVIDIA RTX 3050,Windows,Windows 6,1.17,1053.14
Lenovo,Lenovo_695,Ultrabook,"15.8""",LED,AMD Ryzen 5,8GB,512GB SSD,NVIDIA RTX 3050,macOS,macOS 9,2.77,974.42
Samsung,Samsung_425,Gaming,"15.3""",OLED,Intel i9,8GB,1TB HDD,NVIDIA RTX 4060,Windows,Windows 3,1.26,1310.3
Lenovo,Lenovo_347,Student,"16.0""",IPS,AMD Ryzen 5,32GB,128GB SSD,Integrated,Windows,Windows 4,3.34,768.12
Dell,Dell_263,Ultrabook,"17.1""",Retina,Intel i3,4GB,256GB SSD,Integrated,macOS,macOS 2,2.86,1245.61
Asus,Asus_226,Gaming,"14.9""",OLED,Intel i9,4GB,512GB SSD,Integrated,Linux,Linux 10,3.49,1135.44
Apple,Apple_884,Ultrabook,"15.7""",LED,Intel i5,32GB,1TB HDD,Integrated,Windows,Windows 7,1.13,905.38
Acer,Acer_413,Gaming,"15.9""",LED,AMD Ryzen 7,32GB,256GB SSD,NVIDIA GTX 1650,macOS,macOS 3,2.23,824.51
MSI,MSI_688,Ultrabook,"15.7""",IPS,Intel i7,8GB,512GB SSD,NVIDIA GTX 1650,Windows,Windows 9,1.52,980.72
Apple,Apple_895,Gaming,"16.8""",IPS,Intel i5,32GB,512GB SSD,AMD Radeon,macOS,macOS 10,1.62,1414.85
Apple,Apple_841,Business,"15.1""",LED,Intel i9,16GB,1TB HDD,NVIDIA RTX 4060,macOS,macOS 2,2.25,993.12
Asus,Asus_871,Workstation,"15.0""",Retina,Intel i9,32GB,128GB SSD,NVIDIA RTX 3050,macOS,macOS 6,2.64,1768.57
Dell,Dell_713,Workstation,"13.7""",IPS,Intel i3,8GB,1TB SSD,AMD Radeon,macOS,macOS 7,2.8,1458.21
Apple,Apple_168,Gaming,"14.3""",Retina,Intel i7,32GB,256GB SSD,Integrated,Windows,Windows 10,3.07,1453.58
Dell,Dell_848,Workstation,"14.4""",LED,Intel i3,8GB,256GB SSD,Integrated,Windows,Windows 5,3.26,1561.65
Asus,Asus_525,Gaming,"14.5""",Retina,Intel i7,8GB,128GB SSD,Integrated,Windows,Windows 5,2.03,768.68
Samsung,Samsung_657,Student,"14.0""",OLED,AMD Ryzen 5,4GB,1TB HDD,NVIDIA GTX 1650,Windows,Windows 6,2.97,774.86
Acer,Acer_820,Ultrabook,"16.1""",OLED,AMD Ryzen 7,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Linux 4,1.3,732.3
HP,HP_639,Ultrabook,"14.1""",OLED,AMD Ryzen 7,16GB,512GB SSD,NVIDIA RTX 4060,Linux,Linux 9,2.04,1368.34
HP,HP_274,Business,"13.7""",LED,Intel i5,16GB,1TB HDD,Integrated,macOS,macOS 1,2.24,433.87
Asus,Asus_394,Business,"15.2""",IPS,AMD Ryzen 5,8GB,128GB SSD,NVIDIA RTX 3050,Linux,Linux 10,2.27,840.06
Dell,Dell_270,Gaming,"15.9""",OLED,AMD Ryzen 5,4GB,512GB SSD,NVIDIA GTX 1650,Windows,Windows 6,2.81,1189.96
Samsung,Samsung_923,Gaming,"15.0""",LED,Intel i3,16GB,1TB SSD,NVIDIA RTX 3050,macOS,macOS 9,2.33,1466.35
Dell,Dell_528,Ultrabook,"13.1""",LED,AMD Ryzen 7,4GB,256GB SSD,NVIDIA RTX 3050,macOS,macOS 8,3.19,1108.77
Apple,Apple_850,Gaming,"16.2""",OLED,Intel i9,32GB,128GB SSD,Integrated,Windows,Windows 2,1.94,1141.04
Samsung,Samsung_320,Ultrabook,"13.2""",OLED,Intel i7,16GB,512GB SSD,NVIDIA RTX 4060,Linux,Linux 12,2.81,1369.24
HP,HP_578,Ultrabook,"17.0""",LED,Intel i7,8GB,128GB SSD,Integrated,Linux,Linux 12,1.24,767.9
HP,HP_968,Workstation,"14.5""",Retina,Intel i5,32GB,128GB SSD,NVIDIA RTX 3050,Windows,Windows 3,2.55,1863.93
Asus,Asus_670,Student,"13.8""",Retina,AMD Ryzen 7,4GB,256GB SSD,Integrated,Linux,Linux 3,2.08,805.98
Asus,Asus_569,Business,"14.3""",IPS,AMD Ryzen 5,16GB,512GB SSD,Integrated,Windows,Windows 11,3.15,982.45
Acer,Acer_815,Business,"15.2""",OLED,Intel i3,8GB,256GB SSD,NVIDIA GTX 1650,Linux,Linux 10,2.13,883.67
Acer,Acer_905,Gaming,"14.1""",LED,Intel i7,8GB,1TB HDD,Integrated,macOS,macOS 12,2.16,1308.68
Acer,Acer_880,Ultrabook,"15.6""",LED,Intel i5,16GB,1TB HDD,NVIDIA RTX 4060,Linux,Linux 7,1.47,1152.09
Apple,Apple_260,Student,"13.9""",IPS,AMD Ryzen 7,8GB,1TB HDD,AMD Radeon,Linux,Linux 5,2.58,592.23
Acer,Acer_789,Gaming,"16.9""",OLED,AMD Ryzen 5,16GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 8,1.62,1058.54
Samsung,Samsung_126,Student,"16.9""",IPS,Intel i7,32GB,1TB HDD,NVIDIA GTX 1650,Linux,Linux 11,1.6,725.07
MSI,MSI_499,Workstation,"14.4""",OLED,Intel i9,16GB,512GB SSD,AMD Radeon,Linux,Linux 6,2.42,1716.35
Lenovo,Lenovo_697,Business,"16.0""",Retina,Intel i7,8GB,512GB SSD,NVIDIA RTX 3050,Windows,Windows 5,2.01,637.56
Lenovo,Lenovo_636,Student,"17.3""",OLED,Intel i7,16GB,256GB SSD,NVIDIA GTX 1650,Windows,Windows 11,2.45,910.92
Lenovo,Lenovo_721,Business,"14.5""",IPS,Intel i7,4GB,512GB SSD,AMD Radeon,macOS,macOS 4,3.15,939.78
HP,HP_567,Gaming,"15.2""",Retina,Intel i7,4GB,256GB SSD,NVIDIA RTX 3050,Linux,Linux 6,1.93,1592.52
MSI,MSI_956,Gaming,"13.3""",LED,Intel i7,4GB,1TB SSD,Integrated,Linux,Linux 8,2.76,1200.74
Acer,Acer_853,Gaming,"16.6""",LED,Intel i5,32GB,256GB SSD,Integrated,Linux,Linux 11,2.75,1282.97
Acer,Acer_265,Ultrabook,"15.7""",LED,AMD Ryzen 7,4GB,1TB HDD,NVIDIA GTX 1650,Windows,Windows 1,1.69,1192.66
Apple,Apple_537,Business,"16.2""",Retina,Intel i7,8GB,1TB SSD,AMD Radeon,macOS,macOS 1,2.52,673.88
Asus,Asus_338,Ultrabook,"16.2""",Retina,Intel i3,16GB,512GB SSD,NVIDIA RTX 4060,Windows,Windows 10,2.73,1224.54
MSI,MSI_730,Gaming,"15.0""",OLED,AMD Ryzen 5,8GB,1TB SSD,NVIDIA RTX 4060,Linux,Linux 5,3.44,1268.61
Acer,Acer_593,Ultrabook,"16.4""",OLED,Intel i9,8GB,256GB SSD,NVIDIA RTX 3050,macOS,macOS 6,3.36,1161.69
Samsung,Samsung_663,Workstation,"15.3""",IPS,AMD Ryzen 7,4GB,1TB SSD,NVIDIA RTX 3050,macOS,macOS 8,1.55,1217.0
Asus,Asus_135,Workstation,"13.7""",Retina,Intel i5,32GB,256GB SSD,NVIDIA RTX 3050,macOS,macOS 5,2.2,1240.02
HP,HP_523,Ultrabook,"13.0""",Retina,AMD Ryzen 7,16GB,128GB SSD,Integrated,Linux,Linux 10,3.06,1076.65
Dell,Dell_889,Workstation,"14.5""",LED,Intel i7,32GB,128GB SSD,NVIDIA GTX 1650,Linux,Linux 7,3.1,1372.89
Dell,Dell_131,Gaming,"17.0""",LED,Intel i7,4GB,256GB SSD,AMD Radeon,Windows,Windows 12,2.21,1115.11
Lenovo,Lenovo_147,Business,"13.5""",OLED,Intel i9,16GB,128GB SSD,AMD Radeon,Windows,Windows 1,3.04,1107.17
Acer,Acer_688,Gaming,"15.2""",LED,AMD Ryzen 7,32GB,1TB SSD,Integrated,Windows,Windows 11,1.35,941.69
Acer,Acer_550,Student,"15.1""",LED,Intel i5,32GB,1TB HDD,Integrated,macOS,macOS 3,3.35,758.17
Samsung,Samsung_798,Student,"15.4""",OLED,AMD Ryzen 5,16GB,1TB HDD,NVIDIA RTX 4060,Windows,Windows 9,1.63,1195.88
MSI,MSI_505,Student,"13.0""",OLED,Intel i5,8GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 1,1.38,1153.44
Dell,Dell_996,Workstation,"13.4""",LED,Intel i5,16GB,1TB HDD,NVIDIA RTX 3050,macOS,macOS 11,2.47,1672.91
Acer,Acer_821,Gaming,"16.0""",IPS,Intel i5,4GB,256GB SSD,AMD Radeon,Linux,Linux 5,2.91,1503.78
Samsung,Samsung_666,Gaming,"15.2""",Retina,Intel i3,32GB,256GB SSD,NVIDIA RTX 4060,Linux,Linux 5,1.13,1211.27
Apple,Apple_748,Gaming,"16.4""",OLED,Intel i5,32GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 9,2.52,1097.57
Samsung,Samsung_766,Student,"14.6""",Retina,Intel i5,8GB,512GB SSD,NVIDIA RTX 3050,Linux,Linux 11,2.63,755.72
Asus,Asus_952,Business,"14.4""",IPS,Intel i7,8GB,128GB SSD,Integrated,Linux,Linux 3,1.86,614.53
Dell,Dell_248,Ultrabook,"14.3""",Retina,Intel i7,16GB,1TB SSD,NVIDIA RTX 3050,Windows,Windows 6,2.7,1273.83
MSI,MSI_392,Ultrabook,"15.2""",LED,Intel i5,4GB,512GB SSD,NVIDIA RTX 4060,macOS,macOS 4,2.7,1008.89
Dell,Dell_204,Student,"15.7""",LED,Intel i7,8GB,1TB SSD,NVIDIA RTX 3050,macOS,macOS 8,1.78,703.83
Apple,Apple_571,Business,"17.0""",Retina,Intel i7,4GB,1TB SSD,AMD Radeon,Windows,Windows 2,1.47,945.94
Samsung,Samsung_609,Business,"16.9""",Retina,Intel i5,16GB,512GB SSD,AMD Radeon,Linux,Linux 10,3.35,860.86
